Month,Monthly Value,YoY Value,YoY Percent
12/01/1996 07:59:59,44.76,,
01/01/1997 07:59:59,50.15,,
02/01/1997 07:59:59,55.41,,
03/01/1997 07:59:59,54.28,,
04/01/1997 07:59:59,56.72,,
05/01/1997 07:00:00,57.41,,
06/01/1997 07:00:00,47.42,,
07/01/1997 07:00:00,45.58,,
08/01/1997 07:00:00,50.52,,
09/01/1997 07:00:00,50.64,,
10/01/1997 07:00:00,53.94,,
11/01/1997 07:59:59,70.58,,
12/01/1997 07:59:59,45.73,0.9716672602,2.1709487565%
01/01/1998 07:59:59,49.11,-1.0418004126,-2.0774804597%
02/01/1998 07:59:59,54.05,-1.3568288497,-2.4488111933%
03/01/1998 07:59:59,51.84,-2.436532328,-4.4887133017%
04/01/1998 07:59:59,53.67,-3.0489773622,-5.3758490362%
05/01/1998 07:00:00,57.46,0.0507215429,0.0883557145%
06/01/1998 07:00:00,47.67,0.2491887299,0.5254565905%
07/01/1998 07:00:00,47.55,1.9751163698,4.3333688656%
08/01/1998 07:00:00,60.35,9.8255406658,19.4486767617%
09/01/1998 07:00:00,51.09,0.4541288036,0.8967754321%
10/01/1998 07:00:00,57.48,3.5384683672,6.5598284843%
11/01/1998 07:59:59,68.04,-2.5387106389,-3.5968717522%
12/01/1998 07:59:59,47.93,2.2040757919,4.8198231255%
01/01/1999 07:59:59,57.85,8.7462003534,17.8110394224%
02/01/1999 07:59:59,57.54,3.4876558362,6.4525486571%
03/01/1999 07:59:59,65.36,13.5192087225,26.0763178957%
04/01/1999 07:59:59,65.86,12.1901903315,22.7144044944%
05/01/1999 07:00:00,61.64,4.1792794781,7.2737780889%
06/01/1999 07:00:00,51.87,4.2011435167,8.8125158378%
07/01/1999 07:00:00,53.69,6.1406082719,12.9128210594%
08/01/1999 07:00:00,53.62,-6.7244378794,-11.1431568539%
09/01/1999 07:00:00,59.25,8.1590284587,15.9685622142%
10/01/1999 07:00:00,66.57,9.0879934748,15.8107204712%
11/01/1999 07:59:59,69.6,1.557268011,2.288674263%
12/01/1999 07:59:59,52.32,4.3906531798,9.1598906107%
01/01/2000 07:59:59,62.57,4.7210648512,8.1606325203%
02/01/2000 07:59:59,67.39,9.8554444408,17.1284402292%
03/01/2000 07:59:59,67.98,2.6161571604,4.0024443935%
04/01/2000 07:59:59,72.8,6.9400807282,10.5380401018%
05/01/2000 07:00:00,67.39,5.7555554826,9.3379662803%
06/01/2000 07:00:00,62.39,10.5133212653,20.2671870973%
07/01/2000 07:00:00,56.49,2.7974365371,5.2098680517%
08/01/2000 07:00:00,59.38,5.7592100623,10.7404950036%
09/01/2000 07:00:00,67.35,8.0968970242,13.6648764659%
10/01/2000 07:00:00,73.19,6.6251433322,9.9524537734%
11/01/2000 07:59:59,72.45,2.8541793308,4.100854213%
12/01/2000 07:59:59,57.64,5.3131928157,10.1543853136%
01/01/2001 07:59:59,63.25,0.6733942824,1.0761778813%
02/01/2001 07:59:59,79.81,12.4197832482,18.4286388489%
03/01/2001 07:59:59,78.61,10.631581969,15.6392464068%
04/01/2001 07:59:59,75.77,2.9746963255,4.0862619306%
05/01/2001 07:00:00,71.18,3.7836358724,5.6144006255%
06/01/2001 07:00:00,65.04,2.6484463028,4.245194174%
07/01/2001 07:00:00,57.85,1.3542684671,2.3972579738%
08/01/2001 07:00:00,61.42,2.0409729256,3.4370999482%
09/01/2001 07:00:00,64.42,-2.9347316719,-4.3574178554%
10/01/2001 07:00:00,64.34,-8.8544083551,-12.0973295603%
11/01/2001 07:59:59,62.37,-10.0882677461,-13.9237231767%
12/01/2001 07:59:59,54.59,-3.0499669334,-5.2916535378%
01/01/2002 07:59:59,70.8,7.5538383243,11.9435521843%
02/01/2002 07:59:59,74.73,-5.0837093542,-6.3694688486%
03/01/2002 07:59:59,87.63,9.0182756862,11.4719219874%
04/01/2002 07:59:59,84.02,8.2478086534,10.885007424%
05/01/2002 07:00:00,78.05,6.8747381151,9.6588869967%
06/01/2002 07:00:00,70.63,5.5946240479,8.6024320856%
07/01/2002 07:00:00,67.85,10.0033355588,17.292847661%
08/01/2002 07:00:00,73.64,12.2183585934,19.892595368%
09/01/2002 07:00:00,76.03,11.6144850518,18.0305708355%
10/01/2002 07:00:00,81.35,17.0113262709,26.4402812258%
11/01/2002 07:59:59,82.21,19.8444591054,31.8195895053%
12/01/2002 07:59:59,71.4,16.8126535373,30.799543533%
