Month,Monthly Value,YoY Value,YoY Percent
01/01/1980 07:59:59,77.2%,,
02/01/1980 07:59:59,83.1%,,
03/01/1980 07:59:59,86.5%,,
04/01/1980 07:59:59,79.9%,,
05/01/1980 07:00:00,75%,,
06/01/1980 07:00:00,72.5%,,
07/01/1980 07:00:00,74.8%,,
08/01/1980 07:00:00,78.3%,,
09/01/1980 07:00:00,75.5%,,
10/01/1980 07:00:00,82.1%,,
11/01/1980 07:59:59,75.1%,,
12/01/1980 07:59:59,65.9%,,
01/01/1981 07:59:59,73.4%,-3.8%,-3.8%
02/01/1981 07:59:59,81.7%,-1.4%,-1.4%
03/01/1981 07:59:59,79.5%,-7%,-7%
04/01/1981 07:59:59,78.9%,-1%,-1%
05/01/1981 07:00:00,78.1%,3.1%,3.1%
06/01/1981 07:00:00,75.1%,2.6%,2.6%
07/01/1981 07:00:00,79.2%,4.4%,4.4%
08/01/1981 07:00:00,74.8%,-3.5%,-3.5%
09/01/1981 07:00:00,77.1%,1.6%,1.6%
10/01/1981 07:00:00,78.7%,-3.4%,-3.4%
11/01/1981 07:59:59,70.2%,-4.9%,-4.9%
12/01/1981 07:59:59,61.6%,-4.3%,-4.3%
01/01/1982 07:59:59,66.7%,-6.7%,-6.7%
02/01/1982 07:59:59,75.1%,-6.6%,-6.6%
03/01/1982 07:59:59,71.2%,-8.3%,-8.3%
04/01/1982 07:59:59,72.9%,-6%,-6%
05/01/1982 07:00:00,72%,-6.1%,-6.1%
06/01/1982 07:00:00,70.3%,-4.8%,-4.8%
07/01/1982 07:00:00,73.7%,-5.5%,-5.5%
08/01/1982 07:00:00,70.9%,-3.9%,-3.9%
09/01/1982 07:00:00,69.1%,-8%,-8%
10/01/1982 07:00:00,74.8%,-3.9%,-3.9%
11/01/1982 07:59:59,68.9%,-1.3%,-1.3%
12/01/1982 07:59:59,57.4%,-4.2%,-4.2%
01/01/1983 07:59:59,65.3%,-1.4%,-1.4%
02/01/1983 07:59:59,72.9%,-2.2%,-2.2%
03/01/1983 07:59:59,77.4%,6.2%,6.2%
04/01/1983 07:59:59,80.2%,7.3%,7.3%
05/01/1983 07:00:00,74.3%,2.3%,2.3%
06/01/1983 07:00:00,74.8%,4.5%,4.5%
07/01/1983 07:00:00,71.7%,-2%,-2%
08/01/1983 07:00:00,70.7%,-0.2%,-0.2%
09/01/1983 07:00:00,72.1%,3%,3%
10/01/1983 07:00:00,77.2%,2.4%,2.4%
11/01/1983 07:59:59,74.8%,5.9%,5.9%
12/01/1983 07:59:59,59.7%,2.3%,2.3%
01/01/1984 07:59:59,69.4%,4.1%,4.1%
02/01/1984 07:59:59,74%,1.1%,1.1%
03/01/1984 07:59:59,81.8%,4.4%,4.4%
04/01/1984 07:59:59,71.2%,-9%,-9%
05/01/1984 07:00:00,67.5%,-6.8%,-6.8%
06/01/1984 07:00:00,70.5%,-4.3%,-4.3%
07/01/1984 07:00:00,69.5%,-2.2%,-2.2%
08/01/1984 07:00:00,74.4%,3.7%,3.7%
09/01/1984 07:00:00,72.7%,0.6%,0.6%
10/01/1984 07:00:00,80.6%,3.4%,3.4%
11/01/1984 07:59:59,76.1%,1.3%,1.3%
12/01/1984 07:59:59,62.3%,2.6%,2.6%
01/01/1985 07:59:59,74.8%,5.4%,5.4%
02/01/1985 07:59:59,81.3%,7.3%,7.3%
03/01/1985 07:59:59,87.9%,6.1%,6.1%
04/01/1985 07:59:59,82.8%,11.6%,11.6%
05/01/1985 07:00:00,80%,12.5%,12.5%
06/01/1985 07:00:00,78.1%,7.6%,7.6%
07/01/1985 07:00:00,78.8%,9.3%,9.3%
08/01/1985 07:00:00,82.8%,8.4%,8.4%
09/01/1985 07:00:00,76.8%,4.1%,4.1%
10/01/1985 07:00:00,83.4%,2.8%,2.8%
11/01/1985 07:59:59,80.5%,4.4%,4.4%
12/01/1985 07:59:59,70.6%,8.3%,8.3%
01/01/1986 07:59:59,76.7%,1.9%,1.9%
02/01/1986 07:59:59,88.5%,7.2%,7.2%
03/01/1986 07:59:59,88.5%,0.6%,0.6%
04/01/1986 07:59:59,85.4%,2.6%,2.6%
05/01/1986 07:00:00,83.2%,3.2%,3.2%
06/01/1986 07:00:00,78.4%,0.3%,0.3%
07/01/1986 07:00:00,76.5%,-2.3%,-2.3%
08/01/1986 07:00:00,83.2%,0.4%,0.4%
09/01/1986 07:00:00,78.3%,1.5%,1.5%
10/01/1986 07:00:00,85%,1.6%,1.6%
11/01/1986 07:59:59,81.4%,0.9%,0.9%
12/01/1986 07:59:59,71.9%,1.3%,1.3%
