Month,Monthly Value,YoY Value,YoY Percent
1/1/80,"840,648",,
2/1/80,"888,978",,
3/1/80,"1,165,988",,
4/1/80,"1,089,788",,
5/1/80,"1,057,549",,
6/1/80,"964,058",,
7/1/80,"1,083,599",,
8/1/80,"1,090,341",,
9/1/80,"1,012,127",,
10/1/80,"1,105,282",,
11/1/80,"890,917",,
12/1/80,"752,249",,
1/1/81,"806,181","-34,467",-4.10%
2/1/81,"889,867",889,0.10%
3/1/81,"1,064,547","-101,441",-8.70%
4/1/81,"1,075,621","-14,167",-1.30%
5/1/81,"1,095,621","38,072",3.60%
6/1/81,"992,980","28,922",3.00%
7/1/81,"1,167,040","83,441",7.70%
8/1/81,"1,041,276","-49,065",-4.50%
9/1/81,"1,026,297","14,170",1.40%
10/1/81,"1,059,965","-45,317",-4.10%
11/1/81,"864,189","-26,728",-3.00%
12/1/81,"737,204","-15,045",-2.00%
1/1/82,"783,608","-22,573",-2.80%
2/1/82,"880,078","-9,789",-1.10%
3/1/82,"1,036,869","-27,678",-2.60%
4/1/82,"1,075,298",-323,-0.03%
5/1/82,"1,091,239","-4,382",-0.40%
6/1/82,"1,000,924","7,944",0.80%
7/1/82,"1,123,860","-43,180",-3.70%
8/1/82,"1,022,533","-18,743",-1.80%
9/1/82,"995,508","-30,789",-3.00%
10/1/82,"1,057,845","-2,120",-0.20%
11/1/82,"863,411",-778,-0.09%
12/1/82,"702,555","-34,649",-4.70%
1/1/83,"782,981",-627,-0.08%
2/1/83,"871,277","-8,801",-1.00%
3/1/83,"1,147,819","110,950",10.70%
4/1/83,"1,204,334","129,036",12.00%
5/1/83,"1,147,983","56,744",5.20%
6/1/83,"1,090,006","89,082",8.90%
7/1/83,"1,135,099","11,239",1.00%
8/1/83,"1,021,510","-1,023",-0.10%
9/1/83,"1,064,198","68,690",6.90%
10/1/83,"1,120,258","62,413",5.90%
11/1/83,"999,830","136,419",15.80%
12/1/83,"762,975","60,420",8.60%
1/1/84,"869,892","86,911",11.10%
2/1/84,"925,296","54,019",6.20%
3/1/84,"1,261,453","113,634",9.90%
4/1/84,"1,112,805","-91,529",-7.60%
5/1/84,"1,084,844","-63,139",-5.50%
6/1/84,"1,069,296","-20,710",-1.90%
7/1/84,"1,145,315","10,216",0.90%
8/1/84,"1,109,360","87,850",8.60%
9/1/84,"1,139,756","75,558",7.10%
10/1/84,"1,239,005","118,747",10.60%
11/1/84,"1,057,820","57,990",5.80%
12/1/84,"828,591","65,616",8.60%
1/1/85,"962,970","93,078",10.70%
2/1/85,"1,044,659","119,363",12.90%
3/1/85,"1,388,860","127,407",10.10%
4/1/85,"1,317,561","204,756",18.40%
5/1/85,"1,308,322","223,478",20.60%
6/1/85,"1,205,097","135,801",12.70%
7/1/85,"1,323,984","178,669",15.60%
8/1/85,"1,223,624","114,264",10.30%
9/1/85,"1,163,691","23,935",2.10%
10/1/85,"1,257,590","18,585",1.50%
11/1/85,"1,086,381","28,561",2.70%
12/1/85,"911,450","82,859",10.00%
1/1/86,"1,017,745","54,775",5.69%
2/1/86,"1,172,578","127,919",12.25%
3/1/86,"1,480,525","91,665",6.60%
4/1/86,"1,411,108","93,547",7.10%
5/1/86,"1,409,063","100,741",7.70%
6/1/86,"1,261,737","56,640",4.70%
7/1/86,"1,355,760","31,776",2.40%
8/1/86,"1,310,501","86,877",7.10%
9/1/86,"1,263,768","100,077",8.60%
10/1/86,"1,360,712","103,122",8.20%
11/1/86,"1,165,687","79,306",7.30%
12/1/86,"987,100","75,650",8.30%
1/1/87,"1,107,307","89,562",8.80%
2/1/87,"1,262,867","90,289",7.70%
3/1/87,"1,633,019","152,494",10.30%
4/1/87,"1,507,063","95,955",6.80%
5/1/87,"1,502,061","92,998",6.60%
6/1/87,"1,390,434","128,697",10.20%
7/1/87,"1,504,894","149,134",11.00%
8/1/87,"1,355,058","44,557",3.40%
9/1/87,"1,338,330","74,562",5.90%
10/1/87,"1,415,140","54,428",4.00%
11/1/87,"1,209,984","44,297",3.80%
12/1/87,"989,945","2,845",0.29%
1/1/88,"1,132,775","25,468",2.30%
2/1/88,"1,271,707","8,840",0.70%
3/1/88,"1,646,083","13,064",0.80%
4/1/88,"1,522,134","15,071",1.00%
5/1/88,"1,538,110","36,049",2.40%
6/1/88,"1,416,852","26,418",1.90%
7/1/88,"1,691,501","186,607",12.40%
8/1/88,"1,502,759","147,701",10.90%
9/1/88,"1,490,900","152,570",11.40%
10/1/88,"1,570,805","155,665",11.00%
11/1/88,"1,332,192","122,208",10.10%
12/1/88,"1,083,990","94,045",9.50%
1/1/89,"1,175,820","43,045",3.80%
2/1/89,"1,367,085","95,378",7.50%
3/1/89,"1,708,634","62,551",3.80%
4/1/89,"1,604,329","82,195",5.40%
5/1/89,"1,588,868","50,758",3.30%
6/1/89,"1,575,539","158,687",11.20%
7/1/89,"1,762,544","71,043",4.20%
8/1/89,"1,541,831","39,072",2.60%
9/1/89,"1,568,427","77,527",5.20%
10/1/89,"1,610,075","39,270",2.50%
11/1/89,"1,408,127","75,935",5.70%
12/1/89,"1,218,405","134,415",12.40%
1/1/90,"1,590,961","415,141",35.31%
2/1/90,"1,610,149","243,064",17.78%
3/1/90,"1,827,528","118,894",6.96%
